"covariateEffect","treatEffect","naiveTE","olsTE","rfTE","naiveSE","olsSE","rfSE","naivePower","olsPower","rfPower","accControl","accTreat","accControlRF","accTreatRF"
0,0,-0.00201437625871454,-0.00244749102002325,-0.00391614900012242,0.126683680710084,0.126191735634403,0.0899522245739313,0.08,0.07,0.53,0.52608,0.52514,0.7505,0.74913
0.5,0,0.000706057770567117,0.00553667386273483,0.00763482685378335,0.126956313325768,0.115659805309091,0.0771554523462479,0.06,0.1,0.5,0.6707,0.67068,0.81725,0.8184
1,0,-0.0232954877790442,-0.0127835000787173,-0.0186120685269216,0.127194602476034,0.09992451667585,0.064733364365519,0.06,0.03,0.38,0.77368,0.77274,0.87283,0.87237
1.5,0,0.0170899761762568,0.00542222355536252,0.00642645992580842,0.127370863744614,0.0874513684794868,0.0572219556295712,0.04,0.05,0.35,0.83117,0.8304,0.90063,0.90067
2,0,-0.00539949403304847,0.000707138645366606,0.00443653655842059,0.127558937867685,0.0783593938898073,0.0524669114456252,0.02,0.05,0.27,0.86577,0.86575,0.91662,0.91748
0,0.2,0.204093069085643,0.203978422580441,0.443213559283901,0.12701246108305,0.126484914585289,0.0908895380170409,0.31,0.33,0.87,0.52895,0.53341,0.75164,0.74896
0.5,0.2,0.174235678846579,0.171811987190661,0.256087172826159,0.127532525276188,0.116209386928876,0.0780938263908623,0.29,0.33,0.72,0.67338,0.6725,0.81814,0.81911
1,0.2,0.11289481930474,0.115619055981519,0.14050701141643,0.127755392443205,0.100469119817153,0.0654845221621184,0.14,0.23,0.58,0.77291,0.77404,0.8738,0.87149
1.5,0.2,0.0839197776957408,0.0850300058630427,0.103179151925784,0.127824418206247,0.0877227465469814,0.0577892293921088,0.11,0.16,0.48,0.83177,0.83119,0.90158,0.89963
2,0.2,0.0605227716913537,0.0615842690123905,0.0625898422469726,0.127893054162078,0.0780533685906733,0.0523635469786096,0.09,0.1,0.4,0.86886,0.86852,0.91911,0.91762
0,0.4,0.379834694649337,0.378962260319615,0.779571794498014,0.127885209419663,0.127388742165392,0.0934825724014991,0.86,0.86,0.99,0.52591,0.55101,0.74983,0.75178
0.5,0.4,0.354995045308926,0.353236941837576,0.527130626512307,0.128621390635763,0.117597178427256,0.0803417867875383,0.78,0.82,0.96,0.66985,0.67082,0.81984,0.81256
1,0.4,0.249363882706471,0.254801988554788,0.324030285473889,0.12846969235225,0.10110956463621,0.0663717485207422,0.47,0.72,0.89,0.77313,0.7727,0.87399,0.868
1.5,0.4,0.201711175220764,0.20358173593515,0.238683036758747,0.128401880759696,0.0884222095127744,0.0585143673888501,0.31,0.65,0.85,0.83077,0.83103,0.90202,0.8962
2,0.4,0.133271219691301,0.148495403530008,0.161531264185853,0.128223965915695,0.0786539625983594,0.0531432578673987,0.13,0.49,0.72,0.86706,0.86629,0.91834,0.91466
0,0.6,0.607616615969487,0.607538923437632,1.18237896356533,0.129646930723694,0.129165154978934,0.0983749723390453,0.99,1,1,0.52579,0.57312,0.74987,0.74908
0.5,0.6,0.513458635783098,0.509865876884463,0.747537946953651,0.130237201434687,0.119122335462828,0.0831994404194865,0.98,0.99,1,0.6727,0.67415,0.82197,0.80577
