"covariateEffect","treatEffect","naiveTE","olsTE","rfTE","naiveSE","olsSE","rfSE","naivePower","olsPower","rfPower","accControl","accTreat","accControlRF","accTreatRF","se_of_naiveTE","se_of_olsTE","se_of_rfTE","se_of_naiveSE","se_of_olsSE","se_of_rfSE","se_of_naivePower","se_of_olsPower","se_of_rfPower","se_of_accControl","se_of_accTreat","se_of_accControlRF","se_of_accTreatRF"
0,0,-0.0036873318155605,-0.00297319718472448,-0.00709837135991418,0.12668947315433,0.126180546934108,0.0899061592709682,0.055,0.06,0.542,0.526474,0.52602,0.749962,0.749651,0.0041232842616639,0.00413796452350482,0.00924076789041973,5.58371444352531e-06,9.86787209512688e-06,5.87397875531083e-05,0.0072129762946392,0.00751375115747497,0.0157633906404836,0.000464222820234882,0.00045622773232646,0.000448142150871113,0.000444658205726511
0.5,0,-0.001707821308978,-0.0038590986017754,-0.00931345887214845,0.126957018290262,0.115788029067991,0.0771141088335459,0.046,0.051,0.448,0.67013,0.670312,0.818333,0.818064,0.00408442739959642,0.00372376844832263,0.00602394475330737,9.35159621592695e-06,4.91131047049386e-05,6.89242182957397e-05,0.00662781471738068,0.00696042006257147,0.0157335165663479,0.000486960193681403,0.00049444628943206,0.000416686619342088,0.00040486518721646
1,0,-0.000416071841664659,-0.00260939991427268,-0.00194612373509484,0.127256826999295,0.100077790261357,0.0650316048476106,0.048,0.055,0.366,0.77185,0.771723,0.871767,0.871497,0.00402405778357562,0.0032450676850619,0.00440551412541244,1.24501330975997e-05,6.72244446804783e-05,6.65342892067021e-05,0.00676326413366665,0.0072129762946392,0.0152406127264056,0.000419596903660599,0.000416948578504733,0.000346844362808468,0.000346811576031236
1.5,0,-0.00157832463071102,-0.000115269534021887,-0.000875805041923578,0.127417820967508,0.0874540236193354,0.0572985619461193,0.042,0.049,0.348,0.83085,0.831199,0.900242,0.901172,0.0039323594361405,0.00280724625331257,0.00370785654548628,1.42453636608418e-05,7.53631176177038e-05,6.85279711732214e-05,0.00634635929303378,0.00682976175614096,0.0150706046037683,0.000365523059610617,0.000372658386828035,0.000299885590463042,0.000312915855035076
2,0,-0.00212649923503293,-0.00102998310391594,-0.0014660709178324,0.127527876380899,0.078023155159267,0.0521479012298691,0.051,0.062,0.357,0.866991,0.867125,0.917976,0.917797,0.004185270689404,0.00262087145011624,0.00339249865563776,1.57165260491868e-05,8.1809985032861e-05,6.82075274890212e-05,0.00696042006257147,0.00762982399628027,0.0151585217214866,0.000344054199643446,0.000346146200603433,0.000297054987612842,0.000280689468234164
0,0.2,0.204014731521751,0.20391700052223,0.435959207599542,0.127011360039342,0.126512688569277,0.0909501200459034,0.353,0.357,0.827,0.525491,0.53379,0.750087,0.749629,0.0039774749769354,0.00399368925806327,0.00888930930620649,1.07479533889996e-05,1.37018540134295e-05,6.79100887742248e-05,0.0151201726054837,0.0151585217214866,0.0119672141375599,0.000489165822806748,0.000466321086114874,0.000452752046285178,0.000436699055489092
0.5,0.2,0.168286318646174,0.168494879471134,0.252111476895367,0.1275031841887,0.116407362642048,0.0781482618248581,0.242,0.298,0.72,0.670892,0.671259,0.820182,0.817051,0.00385791710131295,0.00359602852063238,0.00586769596052197,1.48026819996879e-05,4.94278990617609e-05,7.33851801504374e-05,0.013550631705556,0.0144708467411346,0.0142056961040915,0.000466212065148136,0.000468242640273363,0.000412547053160086,0.000398988208585905
1,0.2,0.126607039346338,0.127558218833986,0.164238181616988,0.127810697148996,0.100631442110978,0.0657425417882504,0.166,0.237,0.618,0.772647,0.773016,0.873173,0.870085,0.0039992148544513,0.00320764784138856,0.00436791366980062,1.88091795514481e-05,7.13090114788639e-05,7.12230004533078e-05,0.0117721103708121,0.0134540704625779,0.0153724530349685,0.00044306963527385,0.000434546400945371,0.000350876310379007,0.000350586202931156
1.5,0.2,0.0916921960883627,0.0948523596667422,0.112854955092262,0.127820058985179,0.0879345640638971,0.0578168813598351,0.111,0.196,0.53,0.830785,0.830985,0.901436,0.899201,0.00408848885057066,0.00282523144721977,0.00372282405270601,1.88410807349999e-05,7.69489549449541e-05,6.8799462803151e-05,0.00993870101058372,0.0125595279267073,0.0157907995158367,0.000368888674065569,0.000367502153507749,0.000306031958395785,0.000303048572736183
2,0.2,0.0849725769144025,0.0779870859321677,0.0913876038205738,0.127895116257282,0.0782869716884091,0.0525638550152122,0.096,0.171,0.491,0.867317,0.867548,0.918938,0.916386,0.00407252718656545,0.00252278272404355,0.00330047198540853,1.87512994991654e-05,8.15628205372051e-05,7.08967096458721e-05,0.00932045443478326,0.0119122164562646,0.0158167369950053,0.000342957914518868,0.000341646627992168,0.000284684388755691,0.000290787829115253
